amfi_code,scheme_name,HHI,category
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.800499735706833e-05,Large Cap
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0004935064055017872,Mid Cap
101206,ABSL Frontline Equity Fund - Regular - Growth,0.0005070074233210522,Large Cap
101207,ABSL Small Cap Fund - Regular - Growth,0.00158977859921376,Small Cap
102886,UTI Mid Cap Fund - Regular - Growth,0.0015985776361566388,Mid Cap
102887,UTI Flexi Cap Fund - Regular - Growth,0.00029455524111258677,Flexi Cap
118632,Nippon India Large Cap Fund - Regular - Growth,0.000401370194370527,Large Cap
118633,Nippon India Large Cap Fund - Direct - Growth,0.0014306153181625212,Large Cap
118634,Nippon India Small Cap Fund - Regular - Growth,0.0017476281016975583,Small Cap
119092,Axis Bluechip Fund - Regular - Growth,0.000611250177585554,Large Cap
119093,Axis Bluechip Fund - Direct - Growth,0.00023110720935134787,Large Cap
119094,Axis Midcap Fund - Regular - Growth,0.0007718888644688334,Mid Cap
119095,Axis Small Cap Fund - Regular - Growth,0.00042615892708794005,Small Cap
119551,SBI Bluechip Fund - Regular Plan - Growth,0.00018742239213455345,Large Cap
119552,SBI Bluechip Fund - Direct Plan - Growth,1.3912164346060898e-06,Large Cap
119598,SBI Small Cap Fund - Regular Plan - Growth,0.0003405226934254224,Small Cap
119599,SBI Small Cap Fund - Direct Plan - Growth,0.0011938619896820861,Small Cap
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.0011912810607047845,Large Cap
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.0015851974371276119,Large Cap
120505,ICICI Pru Midcap Fund - Regular - Growth,8.799215967682258e-07,Mid Cap
120841,Kotak Bluechip Fund - Regular - Growth,0.0011625523914327426,Large Cap
120842,Kotak Emerging Equity Fund - Regular - Growth,0.0020687059289100545,Mid Cap
120843,Kotak Flexicap Fund - Regular - Growth,0.00112541431020905,Flexi Cap
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.0001033692160495611,Large Cap
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.00032420865244750177,Mid Cap
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.00011849818903083342,Large Cap
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0022084408975751664,Large & Mid Cap
149322,DSP Top 100 Equity Fund - Regular - Growth,0.0016062487112608514,Large Cap
149323,DSP Midcap Fund - Regular - Growth,0.0013142139419904993,Mid Cap
149324,DSP Small Cap Fund - Regular - Growth,0.0011326260095044938,Small Cap
